Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,67712,7,N09 N40 G S15 S18 G N05 S36 G N35 N36 G N36+ N18 G S16+ N35 G N17 S37 G N37,,N37 N38 N39 N40 S30 S31 S32 S33 S34 S35 S36 S37
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,22,68668,6,N11 N16 G N21 N33 G S34 S15 G N31 N14 G S04 S16 G N13 N14+ G S01 S33 G N19,,N16 N04 N05 N19 N20 N06 N21 N22 S32 S33 S15 S16
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,22,68943,2,N08 S07 G S12 N32 G N03 N14 G S40 N30 G N40 N12 G N16 N36 G N39 S38 G N28,,S28 S27 S11 S10 S02 S01 S07 S06 S20 S39 S38 N28
Monte Carlo Beeline 4,Parallel MCTS Beeline,Two,Normal,22,70373,69,S01 N24 G S40 N32 G N20 N40 G S37 S38 G N28 N11 G S29 S13 G S13+ S23 G N29,,N29 N12 N11 N10 N09 N08 N23 N22 N21 N40 S30 S29
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,22,71696,6,N11 N16 G S40 N20 G S16 S37 G N05 N31 G N24 S24 G S23 N34 G S22 N33+ G N34,,N18 N17 N35 N34 S24 S23 S22 S21 S40 S39 S38 S37 S18
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,22,71775,61,S04 N24 G N05 S38 G S11 N27 G N38 N33 G S35 S28 G N28 N40 G N07 S30 G N11+,,S28 N38 N37 N18 N19 N05 N01 N02 N10 N11 N27 N28
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,22,72196,6,N11 S17 G S31 N40 G S11 S21 G N06 S20 G N22 S38 G S30 N23 G S28 S32+ G S40+,,N30 S40 S39 S38 S37 S18 S17 S16 S15 S14 S31 S30
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,22,72269,75,S11 S07 G S15 S05 G S38 S02 G S03 S31 G N33 N25 G N36 N05 G S04 S14 G S04,,N09 N25 N24 S34 S33 S15 S16 S04 S03 S02 S01 S07 S08 S09
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,24,72948,37,S28 S32 G N19 N16 G N23 S19 G N37 N21 G S26 N40 G S13 N39 G S30 S17 G S22 N32 G,N25 N24 N23 N22 N21 N40 S30 S29 S28 S27 S26 S25,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,24,76263,65,S05 N14 G N02 N22 G S09 S36 G S33 S34 G N37 N39 G S30 N19 G S34 N36 G N35 S16+ G,N08 N23 N24 S34 S35 S17 S16 S04 S05 S01 S07 S08,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,24,77032,26,N25 N12 G N07 N01 G S16 N10 G S21 N09+ G N09+ S10 G S07 S11 G N07 N08 G N10 S14 G,,N10 N11 N12 N29 N30 S40 S21 S06 S07 S01 S02 S10
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,25,77644,33,S24 N33 G N38 N18 G S05 N35 G N21 N36 G N36+ S18 G N01 N05 G N35 N36 G N36 S38 G N36,N04 N05 N19 N18 N37 N36 S26 S25 S09 S08 S07 S01 S05 S04,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,25,79956,65,S05 N05 G S09 S24 G N03 S40 G N14 S24+ G N17 S08+ G S29 S23+ G S08 N16 G S17 S37 G N16,N16 N17 N35 N34 S24 S23 S08 S07 S01 S05 S04 S16,
Parallel MCTS,Parallel MCTS,Two,Normal,27,86648,13,N04 S09 G S31 S11 G S36 S04 G N17 S15 G N37 S13 G N20 S01 G S20 S05+ G S07+ S01 G N10 S02+ G,,N22 S32 S31 S14 S13 S03 S02 S10 S09 S08 S23 S22
